Tran Id,Original Id,Tran Date,Tran Status,Filer,Contributor/Payee,Sub Type,Payer of Personal Expenditure,Amount,Aggregate Amount,Contributor/Payee Committee ID,Filer Id,Attest By Name,Attest Date,Review By Name,Review Date,Due Date,Occptn Ltr Date,Pymt Sched Txt,Purp Desc,Intrst Rate,Check Nbr,Tran Stsfd Ind,Filed By Name,Filed Date,Addr book Agent Name,Book Type,Title Txt,Occptn Txt,Emp Name,Emp City,Emp State,Employ Ind,Self Employ Ind,Addr Line1,Addr Line2,City,State,Zip,Zip Plus Four,County,Country,Foreign Postal Code,Purpose Codes,Exp Date
1484936,1484936,04/04/2013,Original,Friends of Rich Cunningham,United States Post Office,Cash Expenditure,,110.4,193.4,,14006,Richard A Cunningham Jr,04/10/2013,nanfer,04/11/2013,04/17/2013,,,,,,N,Richard A Cunningham Jr,04/10/2013,,Business Entity,,,,,,N,N,West 11th Street ,,Eugene,OR,97402,,Lane,United States,,Postage,
1486743,1486743,04/04/2013,Original,Friends of Rich Cunningham,Miscellaneous Cash Expenditures $100 and under,Cash Expenditure,,14.6,0,,14006,Richard A Cunningham Jr,04/10/2013,,,04/17/2013,,,,,,N,Richard A Cunningham Jr,04/10/2013,,,,,,,,N,N,,,,,,,,,,,
1484925,1484925,04/03/2013,Original,Friends of Rich Cunningham,Oregon T's,Cash Expenditure,,364,364,,14006,Richard A Cunningham Jr,04/10/2013,nanfer,04/11/2013,04/17/2013,,,,,109,N,Richard A Cunningham Jr,04/10/2013,,Business Entity,,,,,,N,N,31992 Camas Swale Road,,Cresswell,OR,97426,,Lane,United States,,"Other Advertising (yard signs, buttons, etc.)",
1484922,1484922,03/29/2013,Original,Friends of Rich Cunningham,Insta Print,Cash Expenditure,,281.44,281.44,,14006,Richard A Cunningham Jr,04/10/2013,nanfer,04/11/2013,04/17/2013,,,,,107,N,Richard A Cunningham Jr,04/10/2013,,Business Entity,,,,,,N,N,1208 West 6th Street,,Eugene,OR,97402,,Lane,United States,,"Literature, Brochures, Printing",
1480777,1480777,03/25/2013,Original,Friends of Rich Cunningham,Federal Express-Kinko's,Cash Expenditure,,214,411.5,,14006,Richard A Cunningham Jr,04/10/2013,nanfer,04/11/2013,04/17/2013,,,,,105,N,Richard A Cunningham Jr,04/10/2013,,Business Entity,,,,,,N,N,Willamette Street,,Eugene,OR,97401,,Lane,United States,,"Literature, Brochures, Printing",
1486742,1486742,03/24/2013,Original,Friends of Rich Cunningham,Miscellaneous Cash Expenditures $100 and under,Cash Expenditure,,68,0,,14006,Richard A Cunningham Jr,04/10/2013,,,04/17/2013,,,,,,N,Richard A Cunningham Jr,04/10/2013,,,,,,,,N,N,,,,,,,,,,,
1480776,1480776,03/22/2013,Original,Friends of Rich Cunningham,Moderne Briggs Studio,Cash Expenditure,,170,170,,14006,Richard A Cunningham Jr,04/10/2013,nanfer,04/11/2013,04/17/2013,,,,,104,N,Richard A Cunningham Jr,04/10/2013,,Business Entity,,,,,,N,N,656 A Street,,Springfield,OR,97477,,Lane,United States,,Preparation and Production of Advertising,
1477489,1477489,03/19/2013,Original,Friends of Rich Cunningham,Springfield Times,Cash Expenditure,,168,320,,14006,Richard A Cunningham Jr,04/10/2013,nanfer,04/11/2013,04/17/2013,,,,,101,N,Richard A Cunningham Jr,04/10/2013,,Business Entity,,,,,,N,N,741 Main Street,,Springfield,OR,97477,,Lane,United States,,Newspaper and Other Periodical Advertising,
1477490,1477490,03/19/2013,Original,Friends of Rich Cunningham,Springfield Times,Cash Expenditure,,152,320,,14006,Richard A Cunningham Jr,04/10/2013,nanfer,04/11/2013,04/17/2013,,,,,102,N,Richard A Cunningham Jr,04/10/2013,,Business Entity,,,,,,N,N,741 Main Street,,Springfield,OR,97477,,Lane,United States,,Newspaper and Other Periodical Advertising,
1477491,1477491,03/19/2013,Original,Friends of Rich Cunningham,Federal Express-Kinko's,Cash Expenditure,,197.5,197.5,,14006,Richard A Cunningham Jr,04/10/2013,nanfer,04/11/2013,04/17/2013,,,,,103,N,Richard A Cunningham Jr,04/10/2013,,Business Entity,,,,,,N,N,Willamette Street,,Eugene,OR,97401,,Lane,United States,,"Literature, Brochures, Printing",
1486741,1486741,03/19/2013,Original,Friends of Rich Cunningham,Miscellaneous Cash Expenditures $100 and under,Cash Expenditure,,86.38,0,,14006,Richard A Cunningham Jr,04/10/2013,,,04/17/2013,,,,,,N,Richard A Cunningham Jr,04/10/2013,,,,,,,,N,N,,,,,,,,,,,
1476295,1476295,03/16/2013,Original,Friends of Rich Cunningham,Lane Community College Employees Federation A.F.T.,Cash Contribution,,2500,2500,,14006,Richard A Cunningham Jr,04/10/2013,nanfer,04/11/2013,04/17/2013,,,Cash Contribution,,,N,Richard A Cunningham Jr,04/10/2013,,Labor Organization,,,,,,N,N,PO Box 7275,,Eugene,OR,97475,12,Lane,United States,,,
1486906,1486906,03/16/2013,Original,Friends of Rich Cunningham,Miscellaneous Cash Expenditures $100 and under,Cash Expenditure,,15,0,,14006,Richard A Cunningham Jr,04/11/2013,,,05/01/2013,,,,,,N,Richard A Cunningham Jr,04/11/2013,,,,,,,,N,N,,,,,,,,,,,
1486739,1486739,02/21/2013,Original,Friends of Rich Cunningham,Miscellaneous Cash Contributions $100 and under ,Cash Contribution,,30,0,,14006,Richard A Cunningham Jr,04/10/2013,,,04/17/2013,,,,,,N,Richard A Cunningham Jr,04/10/2013,,,,,,,,N,N,,,,,,,,,,,
1486740,1486740,02/21/2013,Original,Friends of Rich Cunningham,Miscellaneous Cash Expenditures $100 and under,Cash Expenditure,,10,0,,14006,Richard A Cunningham Jr,04/10/2013,,,04/17/2013,,,,,,N,Richard A Cunningham Jr,04/10/2013,,,,,,,,N,N,,,,,,,,,,,
659222,659222,12/18/2009,Original,Friends of Rich Cunningham,Miscellaneous Cash Expenditures $100 and under,Cash Expenditure,,40,0,,14006,Richard A Cunningham Jr,12/18/2009,,,01/19/2010,,,,,,N,Richard A Cunningham Jr,12/18/2009,,,,,,,,N,N,,,,,,,,,,,
659242,659242,12/18/2009,Original,Friends of Rich Cunningham,Miscellaneous Cash Contributions $100 and under ,Cash Contribution,,50,0,,14006,Richard A Cunningham Jr,12/18/2009,,,01/19/2010,,,,,,N,Richard A Cunningham Jr,12/18/2009,,,,,,,,N,N,,,,,,,,,,,
